id,parent,label,value
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Hasora/hurama,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Hasora,hurama,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Thespieus,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Thespieus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Thespieus/xarippe,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Thespieus,xarippe,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Timoconia,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae,Timoconia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Timoconia/melania,Animalia/Arthropoda/Insecta/Lepidoptera/Hesperiidae/Timoconia,melania,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Animalia/Arthropoda/Insecta/Lepidoptera,Nymphalidae,80
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Antanartia,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Antanartia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Antanartia/delius,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Antanartia,delius,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Cyrestis,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Cyrestis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Cyrestis/cocles,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Cyrestis,cocles,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Elymnias,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Elymnias,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Elymnias/hypermnestra,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Elymnias,hypermnestra,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Euthalia,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Euthalia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Euthalia/malaccana,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Euthalia,malaccana,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Fountainea,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Fountainea,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Fountainea/nobilis,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Fountainea,nobilis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Hypolimnas,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Hypolimnas,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Hypolimnas/monteironis,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Hypolimnas,monteironis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Prepona,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Prepona,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Prepona/pylene,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Prepona,pylene,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Stephenia,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae,Stephenia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Stephenia/stenobea,Animalia/Arthropoda/Insecta/Lepidoptera/Nymphalidae/Stephenia,stenobea,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Animalia/Arthropoda/Insecta/Lepidoptera,Lycaenidae,70
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Callophrys,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Callophrys,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Callophrys/mossii,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Callophrys,mossii,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Chrysoritis,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Chrysoritis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Chrysoritis/zonarius,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Chrysoritis,zonarius,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lepidochrysops,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Lepidochrysops,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lepidochrysops/braueri,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Lepidochrysops,braueri,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Ogyris,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Ogyris,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Ogyris/caelestia,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Ogyris,caelestia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Polyommatus,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Polyommatus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Polyommatus/cornelia,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Polyommatus,cornelia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Prosotas,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Prosotas,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Prosotas/noreia,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Prosotas,noreia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Strymon,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae,Strymon,10
Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Strymon/serapio,Animalia/Arthropoda/Insecta/Lepidoptera/Lycaenidae/Strymon,serapio,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae,Animalia/Arthropoda/Insecta/Lepidoptera,Noctuidae,40
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Acronicta,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae,Acronicta,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Acronicta/cyanescens,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Acronicta,cyanescens,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/nan,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae,,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/nan/nan,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/nan,,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Autoplusia,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae,Autoplusia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Autoplusia/egenoides,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Autoplusia,egenoides,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Syngrapha,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae,Syngrapha,10
Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Syngrapha/alticola,Animalia/Arthropoda/Insecta/Lepidoptera/Noctuidae/Syngrapha,alticola,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae,Animalia/Arthropoda/Insecta/Lepidoptera,Geometridae,40
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Amelora,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae,Amelora,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Amelora/synclera,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Amelora,synclera,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Hydrelia,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae,Hydrelia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Hydrelia/lucata,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Hydrelia,lucata,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Mauna,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae,Mauna,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Mauna/filia,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Mauna,filia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Orthoclydon,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae,Orthoclydon,10
Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Orthoclydon/chlorias,Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Orthoclydon,chlorias,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae,Animalia/Arthropoda/Insecta/Lepidoptera,Erebidae,30
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Doryodes,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae,Doryodes,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Doryodes/bistrialis,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Doryodes,bistrialis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Drasteria,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae,Drasteria,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Drasteria/perplexa,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Drasteria,perplexa,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Renia,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae,Renia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Renia/fraternalis,Animalia/Arthropoda/Insecta/Lepidoptera/Erebidae/Renia,fraternalis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae,Animalia/Arthropoda/Insecta/Lepidoptera,Riodinidae,20
Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Apodemia,Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae,Apodemia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Apodemia/virgulti,Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Apodemia,virgulti,10
Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Ourocnemis,Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae,Ourocnemis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Ourocnemis/archytas,Animalia/Arthropoda/Insecta/Lepidoptera/Riodinidae/Ourocnemis,archytas,10
Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae,Animalia/Arthropoda/Insecta/Lepidoptera,Pieridae,20
Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae/Appias,Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae,Appias,20
Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae/Appias/galba,Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae/Appias,galba,10
Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae/Appias/lalassis,Animalia/Arthropoda/Insecta/Lepidoptera/Pieridae/Appias,lalassis,10
Animalia/Arthropoda/Insecta/Lepidoptera/Psychidae,Animalia/Arthropoda/Insecta/Lepidoptera,Psychidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Psychidae/Astala,Animalia/Arthropoda/Insecta/Lepidoptera/Psychidae,Astala,10
Animalia/Arthropoda/Insecta/Lepidoptera/Psychidae/Astala/confederata,Animalia/Arthropoda/Insecta/Lepidoptera/Psychidae/Astala,confederata,10
Animalia/Arthropoda/Insecta/Lepidoptera/Tortricidae,Animalia/Arthropoda/Insecta/Lepidoptera,Tortricidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Tortricidae/Eugnosta,Animalia/Arthropoda/Insecta/Lepidoptera/Tortricidae,Eugnosta,10
Animalia/Arthropoda/Insecta/Lepidoptera/Tortricidae/Eugnosta/deceptana,Animalia/Arthropoda/Insecta/Lepidoptera/Tortricidae/Eugnosta,deceptana,10
Animalia/Arthropoda/Insecta/Lepidoptera/Prodoxidae,Animalia/Arthropoda/Insecta/Lepidoptera,Prodoxidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Prodoxidae/Lampronia,Animalia/Arthropoda/Insecta/Lepidoptera/Prodoxidae,Lampronia,10
Animalia/Arthropoda/Insecta/Lepidoptera/Prodoxidae/Lampronia/flavimitrella,Animalia/Arthropoda/Insecta/Lepidoptera/Prodoxidae/Lampronia,flavimitrella,10
Animalia/Arthropoda/Insecta/Lepidoptera/Eupterotidae,Animalia/Arthropoda/Insecta/Lepidoptera,Eupterotidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Eupterotidae/Marmaroplegma,Animalia/Arthropoda/Insecta/Lepidoptera/Eupterotidae,Marmaroplegma,10
Animalia/Arthropoda/Insecta/Lepidoptera/Eupterotidae/Marmaroplegma/paragarda,Animalia/Arthropoda/Insecta/Lepidoptera/Eupterotidae/Marmaroplegma,paragarda,10
Animalia/Arthropoda/Insecta/Lepidoptera/Gracillariidae,Animalia/Arthropoda/Insecta/Lepidoptera,Gracillariidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Gracillariidae/Phyllonorycter,Animalia/Arthropoda/Insecta/Lepidoptera/Gracillariidae,Phyllonorycter,10
Animalia/Arthropoda/Insecta/Lepidoptera/Gracillariidae/Phyllonorycter/trinotella,Animalia/Arthropoda/Insecta/Lepidoptera/Gracillariidae/Phyllonorycter,trinotella,10
Animalia/Arthropoda/Insecta/Lepidoptera/Sphingidae,Animalia/Arthropoda/Insecta/Lepidoptera,Sphingidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Sphingidae/Proserpinus,Animalia/Arthropoda/Insecta/Lepidoptera/Sphingidae,Proserpinus,10
Animalia/Arthropoda/Insecta/Lepidoptera/Sphingidae/Proserpinus/gaurae,Animalia/Arthropoda/Insecta/Lepidoptera/Sphingidae/Proserpinus,gaurae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Pyralidae,Animalia/Arthropoda/Insecta/Lepidoptera,Pyralidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Pyralidae/Sciota,Animalia/Arthropoda/Insecta/Lepidoptera/Pyralidae,Sciota,10
Animalia/Arthropoda/Insecta/Lepidoptera/Pyralidae/Sciota/carneella,Animalia/Arthropoda/Insecta/Lepidoptera/Pyralidae/Sciota,carneella,10
Animalia/Arthropoda/Insecta/Lepidoptera/Douglasiidae,Animalia/Arthropoda/Insecta/Lepidoptera,Douglasiidae,10
Animalia/Arthropoda/Insecta/Lepidoptera/Douglasiidae/Tinagma,Animalia/Arthropoda/Insecta/Lepidoptera/Douglasiidae,Tinagma,10
Animalia/Arthropoda/Insecta/Lepidoptera/Douglasiidae/Tinagma/ocnerostomella,Animalia/Arthropoda/Insecta/Lepidoptera/Douglasiidae/Tinagma,ocnerostomella,10
Animalia/Arthropoda/Insecta/Hymenoptera,Animalia/Arthropoda/Insecta,Hymenoptera,160
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae,Animalia/Arthropoda/Insecta/Hymenoptera,Apidae,50
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Xylocopa,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae,Xylocopa,20
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Xylocopa/atamisquensis,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Xylocopa,atamisquensis,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Xylocopa/micheneri,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Xylocopa,micheneri,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae,Bombus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus/mendax,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Bombus,mendax,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Eulaema,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae,Eulaema,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Eulaema/leucopyga,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Eulaema,leucopyga,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Nomada,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae,Nomada,10
Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Nomada/krugii,Animalia/Arthropoda/Insecta/Hymenoptera/Apidae/Nomada,krugii,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae,Animalia/Arthropoda/Insecta/Hymenoptera,Megachilidae,30
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Austrothurgus,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae,Austrothurgus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Austrothurgus/rubricatus,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Austrothurgus,rubricatus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Bathanthidium,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae,Bathanthidium,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Bathanthidium/sibiricum,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Bathanthidium,sibiricum,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Stelis,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae,Stelis,10
Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Stelis/nan,Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Stelis,,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae,Animalia/Arthropoda/Insecta/Hymenoptera,Formicidae,30
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Camponotus,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae,Camponotus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Camponotus/johnsoni,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Camponotus,johnsoni,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Strumigenys,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae,Strumigenys,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Strumigenys/margaritae,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Strumigenys,margaritae,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Tetramorium,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae,Tetramorium,10
Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Tetramorium/signatum,Animalia/Arthropoda/Insecta/Hymenoptera/Formicidae/Tetramorium,signatum,10
Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae,Animalia/Arthropoda/Insecta/Hymenoptera,Andrenidae,20
Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae/Andrena,Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae,Andrena,20
Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae/Andrena/bimaculata,Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae/Andrena,bimaculata,10
Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae/Andrena/mediovittata,Animalia/Arthropoda/Insecta/Hymenoptera/Andrenidae/Andrena,mediovittata,10
Animalia/Arthropoda/Insecta/Hymenoptera/Colletidae,Animalia/Arthropoda/Insecta/Hymenoptera,Colletidae,10
Animalia/Arthropoda/Insecta/Hymenoptera/Colletidae/Hylaeus,Animalia/Arthropoda/Insecta/Hymenoptera/Colletidae,Hylaeus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Colletidae/Hylaeus/volcanicus,Animalia/Arthropoda/Insecta/Hymenoptera/Colletidae/Hylaeus,volcanicus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae,Animalia/Arthropoda/Insecta/Hymenoptera,Halictidae,10
Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae/Lasioglossum,Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae,Lasioglossum,10
Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae/Lasioglossum/adonidiae,Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae/Lasioglossum,adonidiae,10
Animalia/Arthropoda/Insecta/Hymenoptera/Cephidae,Animalia/Arthropoda/Insecta/Hymenoptera,Cephidae,10
Animalia/Arthropoda/Insecta/Hymenoptera/Cephidae/Phylloecus,Animalia/Arthropoda/Insecta/Hymenoptera/Cephidae,Phylloecus,10
Animalia/Arthropoda/Insecta/Hymenoptera/Cephidae/Phylloecus/niger,Animalia/Arthropoda/Insecta/Hymenoptera/Cephidae/Phylloecus,niger,10
Animalia/Arthropoda/Insecta/Coleoptera,Animalia/Arthropoda/Insecta,Coleoptera,110
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae,Animalia/Arthropoda/Insecta/Coleoptera,Carabidae,30
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae,Cicindela,10
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/hornii,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela,hornii,10
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Pterostichus,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae,Pterostichus,10
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Pterostichus/macer,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Pterostichus,macer,10
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Sphaeroderus,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae,Sphaeroderus,10
Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Sphaeroderus/bicarinatus,Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Sphaeroderus,bicarinatus,10
Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae,Animalia/Arthropoda/Insecta/Coleoptera,Coccinellidae,20
Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/nan,Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae,,10
Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/nan/nan,Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/nan,,10
Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/Hippodamia,Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae,Hippodamia,10
Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/Hippodamia/falcigera,Animalia/Arthropoda/Insecta/Coleoptera/Coccinellidae/Hippodamia,falcigera,10
Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae,Animalia/Arthropoda/Insecta/Coleoptera,Scarabaeidae,20
Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Gnathocera,Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae,Gnathocera,10
Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Gnathocera/hirta,Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Gnathocera,hirta,10
Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Trichostetha,Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae,Trichostetha,10
Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Trichostetha/capensis,Animalia/Arthropoda/Insecta/Coleoptera/Scarabaeidae/Trichostetha,capensis,10
Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae,Animalia/Arthropoda/Insecta/Coleoptera,Lampyridae,20
Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Nipponoluciola,Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae,Nipponoluciola,10
Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Nipponoluciola/cruciata,Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Nipponoluciola,cruciata,10
Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Photinus,Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae,Photinus,10
Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Photinus/scintillans,Animalia/Arthropoda/Insecta/Coleoptera/Lampyridae/Photinus,scintillans,10
Animalia/Arthropoda/Insecta/Coleoptera/Curculionidae,Animalia/Arthropoda/Insecta/Coleoptera,Curculionidae,10
Animalia/Arthropoda/Insecta/Coleoptera/Curculionidae/Dendroctonus,Animalia/Arthropoda/Insecta/Coleoptera/Curculionidae,Dendroctonus,10
Animalia/Arthropoda/Insecta/Coleoptera/Curculionidae/Dendroctonus/micans,Animalia/Arthropoda/Insecta/Coleoptera/Curculionidae/Dendroctonus,micans,10
Animalia/Arthropoda/Insecta/Coleoptera/Gyrinidae,Animalia/Arthropoda/Insecta/Coleoptera,Gyrinidae,10
