,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
10,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0031.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
11,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0021.jpg,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
12,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0009.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
13,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0041.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
14,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0065.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
15,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0048.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
16,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0060.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
17,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0027.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels
18,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0060.jpg,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Foreign Matters,Vitreous Kernels,Vitreous Kernels
19,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0015.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
20,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0061.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
21,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0048.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
22,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0062.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Foreign Matters,Vitreous Kernels,Vitreous Kernels
23,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0038.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
24,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0002.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
25,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0054.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
26,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0020.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
27,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0038.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
28,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0065.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels
29,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0052.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
30,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0055.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
31,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0034.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
32,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0055.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
33,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0024.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
34,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0046.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels
35,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0027.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
36,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0019.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
37,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0062.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
38,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0061.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
39,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0002.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
40,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0050.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,NA,Foreign Matters
41,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0015.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels
42,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0060.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
43,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0045.jpg,Starchy Kernels,Foreign Matters,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
44,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0059.jpg,Starchy Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
45,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0009.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
46,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0013.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
47,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0064.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
48,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0014.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
49,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0023.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
50,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0019.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
51,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0003.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels
52,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0046.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
53,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0047.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels
54,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0065.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
55,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0002.jpg,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
56,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0014.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
57,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0019.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
58,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0013.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
59,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0024.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
60,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0052.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
61,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0053.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
62,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0021.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
63,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0003.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
64,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0054.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
65,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0014.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
66,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0050.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,NA
67,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0055.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
68,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0034.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
69,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0027.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
70,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0047.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
71,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0013.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
72,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0038.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
73,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0059.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
74,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0023.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
75,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0020.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
76,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0052.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels
77,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0045.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
78,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0041.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
79,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0034.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
80,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0003.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
81,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0048.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
82,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0057.jpg,Starchy Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels
83,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0050.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
84,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0059.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
85,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0053.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
86,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0062.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels
87,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0024.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Vitreous Kernels
88,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0053.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
89,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0023.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
90,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0047.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
91,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0064.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
92,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0061.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
93,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0064.jpg,Starchy Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,NA,Starchy Kernels
94,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0045.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
95,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0046.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
96,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Starchy Kernels/Frame 0009.jpg,Starchy Kernels,Vitreous Kernels,Starchy Kernels,Starchy Kernels,Starchy Kernels,Vitreous Kernels
97,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Vitreous Kernels/Frame 0041.jpg,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels,Vitreous Kernels
98,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/processed/Foreign Matters/Frame 0026.jpg,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters,Foreign Matters
