,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
33,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1909.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
34,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_2063.jpg,MRMS,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR)
35,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_2054.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
36,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_1111.jpg,MRMS,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Resistant (R),MRMS
37,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_488.jpg,Resistant (R),Resistant (R),Resistant (R),Moderately Resistant (MR),Resistant (R),Moderately Resistant (MR)
38,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_198.jpg,MRMS,Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Susceptible (MS),MRMS
39,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_827.jpg,MRMS,Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR),MRMS,Resistant (R)
40,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1190.jpg,Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS)
41,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1526.jpg,No disease (0),Moderately Resistant (MR),Resistant (R),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR)
42,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_555.jpg,Resistant (R),No disease (0),No disease (0),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR)
43,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1992.jpg,Resistant (R),No disease (0),No disease (0),No disease (0),No disease (0),No disease (0)
44,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_313.jpg,Moderately Resistant (MR),Susceptible (S),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Susceptible (S)
45,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_349.jpg,Resistant (R),No disease (0),No disease (0),No disease (0),No disease (0),Moderately Resistant (MR)
46,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_2424.jpg,No disease (0),Resistant (R),Moderately Resistant (MR),No disease (0),Moderately Resistant (MR),Moderately Resistant (MR)
47,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1717.jpg,Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS)
48,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1179.jpg,Resistant (R),Resistant (R),No disease (0),Resistant (R),No disease (0),Resistant (R)
49,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_62.jpg,Moderately Susceptible (MS),Susceptible (S),Moderately Susceptible (MS),Moderately Susceptible (MS),MRMS,Moderately Susceptible (MS)
50,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_446.jpg,Resistant (R),No disease (0),Moderately Resistant (MR),No disease (0),No disease (0),Resistant (R)
51,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_350.jpg,MRMS,Resistant (R),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR)
52,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_812.jpg,Moderately Susceptible (MS),Susceptible (S),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR),MRMS
53,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_1922.jpg,Moderately Resistant (MR),Resistant (R),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR)
54,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1084.jpg,Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR)
55,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1014.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
56,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_2085.jpg,MRMS,Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS)
57,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1809.jpg,No disease (0),Resistant (R),No disease (0),No disease (0),No disease (0),Resistant (R)
58,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1516.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Susceptible (S),Susceptible (S)
59,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1192.jpg,No disease (0),Resistant (R),Resistant (R),Moderately Resistant (MR),Resistant (R),Resistant (R)
60,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_816.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
61,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_2366.jpg,MRMS,Resistant (R),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),MRMS
62,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_411.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
63,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_1211.jpg,Moderately Resistant (MR),Moderately Susceptible (MS),Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),Resistant (R)
64,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_940.jpg,MRMS,Moderately Susceptible (MS),Moderately Susceptible (MS),Moderately Susceptible (MS),Susceptible (S),Moderately Susceptible (MS)
65,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_276.jpg,Moderately Resistant (MR),Resistant (R),Resistant (R),No disease (0),Resistant (R),Moderately Resistant (MR)
66,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1005.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Moderately Resistant (MR),Susceptible (S),Susceptible (S)
67,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_2249.jpg,No disease (0),No disease (0),No disease (0),No disease (0),No disease (0),No disease (0)
68,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_936.jpg,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR)
69,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_1099.jpg,MRMS,Susceptible (S),Susceptible (S),Moderately Resistant (MR),Moderately Susceptible (MS),Moderately Susceptible (MS)
70,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_102.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Susceptible (MS)
71,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_218.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Resistant (R),Moderately Resistant (MR),Moderately Susceptible (MS)
72,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_632.jpg,No disease (0),Resistant (R),No disease (0),Moderately Resistant (MR),Resistant (R),Resistant (R)
73,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1668.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
74,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_1638.jpg,MRMS,Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),MRMS
75,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_2404.jpg,No disease (0),No disease (0),No disease (0),Moderately Resistant-Moderately Susceptible (MRMS),No disease (0),Resistant (R)
76,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_924.jpg,Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Moderately Susceptible (MS),Susceptible (S)
77,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1166.jpg,Susceptible (S),Moderately Resistant (MR),Resistant (R),Resistant (R),Moderately Susceptible (MS),Moderately Susceptible (MS)
78,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1542.jpg,No disease (0),No disease (0),No disease (0),No disease (0),Resistant (R),Resistant (R)
79,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/MRMS/3_MRMS_968.jpg,MRMS,Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),MRMS
80,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_2407.jpg,Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR)
81,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_1067.jpg,Moderately Susceptible (MS),Moderately Resistant (MR),Moderately Resistant (MR),Susceptible (S),Moderately Resistant (MR),Moderately Susceptible (MS)
82,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Susceptible (S)/5_S_1194.jpg,Susceptible (S),Moderately Resistant (MR),Susceptible (S),Moderately Resistant (MR),Susceptible (S),Moderately Susceptible (MS)
83,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_1653.jpg,Resistant (R),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR),Moderately Resistant (MR)
84,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Susceptible (MS)/4_MS_939.jpg,Moderately Susceptible (MS),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S),Susceptible (S)
85,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Resistant (R)/1_R_758.jpg,Resistant (R),Moderately Resistant (MR),No disease (0),No disease (0),Moderately Resistant (MR),Moderately Resistant (MR)
86,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1919.jpg,No disease (0),Resistant (R),No disease (0),No disease (0),No disease (0),No disease (0)
87,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/Moderately Resistant (MR)/2_MR_2425.jpg,Moderately Resistant (MR),No disease (0),No disease (0),No disease (0),No disease (0),Moderately Resistant (MR)
88,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/yellowrust19-yellow-rust-disease-in-wheat/YELLOW-RUST-19/YELLOW-RUST-19/No disease (0)/0_I_1428.jpg,No disease (0),Resistant (R),Resistant (R),Resistant (R),Resistant (R),Moderately Resistant (MR)
