,0,1,Embedding # of Shots 8,Embedding Example Paths 8,Embedding Example Categories 8,Embedding Same Category Count 8,Random # of Shots 8,Random Example Paths 8,Random Example Categories 8,Random Same Category Count 8,Embedding # of Shots 4,Embedding Example Paths 4,Embedding Example Categories 4,Embedding Same Category Count 4,Random # of Shots 4,Random Example Paths 4,Random Example Categories 4,Random Same Category Count 4,Embedding # of Shots 2,Embedding Example Paths 2,Embedding Example Categories 2,Embedding Same Category Count 2,Random # of Shots 2,Random Example Paths 2,Random Example Categories 2,Random Same Category Count 2,Embedding # of Shots 1,Embedding Example Paths 1,Embedding Example Categories 1,Embedding Same Category Count 1,Random # of Shots 1,Random Example Paths 1,Random Example Categories 1,Random Same Category Count 1,Embedding # of Shots 0,Embedding Example Paths 0,Embedding Example Categories 0,Embedding Same Category Count 0,Random # of Shots 0,Random Example Paths 0,Random Example Categories 0,Random Same Category Count 0
10,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0040.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0053.jpg,Vitreous Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0047.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0009.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0010.jpg,Starchy Kernels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0005.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0011.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0041.jpg,Foreign Matters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0011.jpg,Vitreous Kernels,NA,NA,NA,NA,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0035.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0065.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0053.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0005.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0050.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0051.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0015.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0011.jpg']","['Vitreous Kernels', 'Foreign Matters', 'Starchy Kernels', 'Foreign Matters', 'Vitreous Kernels', 'Foreign Matters', 'Vitreous Kernels', 'Starchy Kernels']",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0001.jpg,Vitreous Kernels,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0006.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0007.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0008.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0004.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0009.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0005.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0010.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0023.jpg']","['Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels']",8,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0008.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0027.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0039.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0065.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0036.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0011.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0036.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0006.jpg']","['Starchy Kernels', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Starchy Kernels', 'Starchy Kernels', 'Foreign Matters', 'Vitreous Kernels']",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0007.jpg,Starchy Kernels,Starchy Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0006.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0005.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0011.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0001.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0009.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0017.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0023.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0008.jpg']","['Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels']",8,Starchy Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0052.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0025.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0020.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0036.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0027.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0024.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0052.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0011.jpg']","['Starchy Kernels', 'Vitreous Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Foreign Matters', 'Foreign Matters', 'Vitreous Kernels', 'Vitreous Kernels']",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0005.jpg,Vitreous Kernels,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0004.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0010.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0006.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0009.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0007.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0008.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0001.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0015.jpg']","['Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels']",8,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0040.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0039.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0001.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0008.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0050.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0039.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0007.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0010.jpg']","['Starchy Kernels', 'Vitreous Kernels', 'Foreign Matters', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Starchy Kernels', 'Foreign Matters']",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0006.jpg,Vitreous Kernels,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0007.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0001.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0005.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0004.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0010.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0009.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0008.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0016.jpg']","['Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Vitreous Kernels']",8,Vitreous Kernels,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0001.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0005.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0010.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0052.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0053.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0065.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0050.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0008.jpg']","['Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Starchy Kernels', 'Starchy Kernels', 'Foreign Matters', 'Vitreous Kernels']",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0048.jpg,Foreign Matters,Foreign Matters,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0053.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0047.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0050.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0052.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0051.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0039.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0040.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0037.jpg']","['Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters', 'Foreign Matters']",8,Foreign Matters,"['./data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0016.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0023.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0057.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0039.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Starchy Kernels/Frame 0020.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0007.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Vitreous Kernels/Frame 0053.jpg', './data/Durum_Wheat_Dataset/Durum_Wheat_Dataset/Dataset2-Durum Wheat Video Images/Foreign Matters/Frame 0009.jpg']","['Foreign Matters', 'Vitreous Kernels', 'Starchy Kernels', 'Vitreous Kernels', 'Starchy Kernels', 'Vitreous Kernels', 'Vitreous Kernels', 'Foreign Matters']",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
