,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
27,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.296.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
28,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.169.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
29,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.167.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
30,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.168.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot
31,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.185.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
32,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.14.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
33,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.284.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
34,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.182.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
35,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.342.jpg,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot
36,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.33.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot
37,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.195.jpg,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust
38,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.204.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
39,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.80.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
40,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.303.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust
41,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.146.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
42,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.34.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
43,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.230.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
44,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.113.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
45,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.314.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust
46,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.11.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
47,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.187.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
48,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.333.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
49,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.174.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
50,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.273.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Bean Rust
51,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.1.jpg,Healthy,Bean Rust,Bean Rust,Bean Rust,Healthy,Bean Rust
52,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.4.jpg,Bean Rust,Healthy,Angular Leaf Spot,Angular Leaf Spot,Healthy,Angular Leaf Spot
53,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.268.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
54,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.121.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
55,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.147.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
56,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.322.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
57,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.42.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
58,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.195.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot
59,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.232.jpg,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Healthy
60,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.203.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
61,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.65.jpg,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Bean Rust
62,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.113.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
63,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.3.jpg,Bean Rust,Healthy,Healthy,Healthy,Healthy,Healthy
64,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.166.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
65,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.263.jpg,Bean Rust,Healthy,Angular Leaf Spot,Angular Leaf Spot,Healthy,Healthy
66,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.17.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
67,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.10.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
68,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.137.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
69,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.279.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
70,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.185.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
71,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.199.jpg,Bean Rust,Angular Leaf Spot,Bean Rust,Healthy,Angular Leaf Spot,Bean Rust
72,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.176.jpg,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust
73,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.334.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Bean Rust
74,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.14.jpg,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust
75,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.202.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot
76,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.211.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
77,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.173.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
78,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.116.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
79,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.267.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
80,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.36.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
81,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.127.jpg,Bean Rust,Bean Rust,Healthy,Bean Rust,Angular Leaf Spot,Bean Rust
82,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.269.jpg,Healthy,Bean Rust,Healthy,Healthy,Bean Rust,Healthy
83,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.13.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Angular Leaf Spot
84,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.247.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
85,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.114.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
86,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.166.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
87,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.210.jpg,Healthy,Healthy,Healthy,Bean Rust,Healthy,Angular Leaf Spot
88,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.99.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust
89,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.237.jpg,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Bean Rust,Bean Rust,Angular Leaf Spot
90,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.344.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
91,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.12.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot
92,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.38.jpg,Angular Leaf Spot,Bean Rust,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
93,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.195.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
94,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.159.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
95,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.8.jpg,Angular Leaf Spot,Bean Rust,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
96,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Healthy/healthy_train.6.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
97,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Angular Leaf Spot/angular_leaf_spot_train.185.jpg,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot,Angular Leaf Spot
98,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/bean-leaf-lesions-classification/train/Bean Rust/bean_rust_train.161.jpg,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust,Bean Rust
