,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
11,data/mango-leaf-disease-dataset/Healthy/20211231_161506 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
12,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_162806 (Custom).jpg,Anthracnose,Bacterial Canker,Anthracnose,Gall Midge,Bacterial Canker,Anthracnose
13,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134812 (Custom).jpg,Bacterial Canker,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker
14,data/mango-leaf-disease-dataset/Healthy/20211231_161448 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
15,data/mango-leaf-disease-dataset/Healthy/20211231_160415 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
16,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_161702 (Custom).jpg,Anthracnose,Anthracnose,Bacterial Canker,Bacterial Canker,Anthracnose,Anthracnose
17,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_152955 (Custom).jpg,Anthracnose,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil
18,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162502 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil
19,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164440 (Custom).jpg,Gall Midge,Cutting Weevil,Gall Midge,Cutting Weevil,Cutting Weevil,Gall Midge
20,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124431 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
21,data/mango-leaf-disease-dataset/Die Back/20211129_161729 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
22,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153606 (Custom).jpg,Anthracnose,Cutting Weevil,Cutting Weevil,Cutting Weevil,Anthracnose,Gall Midge
23,data/mango-leaf-disease-dataset/Die Back/20211129_161836 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
24,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162940 (Custom).jpg,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Cutting Weevil,Gall Midge
25,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141934 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker
26,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115443 (Custom).jpg,Powdery Mildew,Sooty Mould,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
27,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143356 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker
28,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_115652 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
29,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161924 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Die Back,Cutting Weevil,Cutting Weevil,Cutting Weevil
30,data/mango-leaf-disease-dataset/Healthy/20211231_155750 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
31,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123138 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
32,data/mango-leaf-disease-dataset/Die Back/20211129_161706 (Custom).jpg,Die Back,Die Back,Die Back,Gall Midge,Gall Midge,Die Back
33,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_134702 (Custom).jpg,Bacterial Canker,Die Back,Cutting Weevil,Bacterial Canker,Die Back,Bacterial Canker
34,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_123919 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
35,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161916 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil
36,data/mango-leaf-disease-dataset/Healthy/20211231_160557 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
37,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140557 (Custom).jpg,Anthracnose,Gall Midge,Gall Midge,Gall Midge,Cutting Weevil,Gall Midge
38,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124906 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
39,data/mango-leaf-disease-dataset/Healthy/20211231_160643 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
40,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142934 (Custom).jpg,Bacterial Canker,Die Back,Cutting Weevil,Die Back,Die Back,Bacterial Canker
41,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164413 (Custom).jpg,Gall Midge,Anthracnose,Anthracnose,Gall Midge,Gall Midge,Gall Midge
42,data/mango-leaf-disease-dataset/Healthy/20211231_161832 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
43,data/mango-leaf-disease-dataset/Anthracnose/20211008_124632 (Custom).jpg,Anthracnose,Anthracnose,Anthracnose,Anthracnose,Anthracnose,Anthracnose
44,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122104 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
45,data/mango-leaf-disease-dataset/Healthy/20211231_160851 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
46,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164502 (Custom).jpg,Gall Midge,Cutting Weevil,Anthracnose,Cutting Weevil,Bacterial Canker,Gall Midge
47,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140521 (Custom).jpg,Anthracnose,Gall Midge,Gall Midge,Gall Midge,Die Back,Cutting Weevil
48,data/mango-leaf-disease-dataset/Healthy/20211231_155401 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,NA
49,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135800 (Custom).jpg,Bacterial Canker,Bacterial Canker,Die Back,Die Back,Die Back,Cutting Weevil
50,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_153444 (Custom).jpg,Anthracnose,Cutting Weevil,Cutting Weevil,Cutting Weevil,Die Back,Anthracnose
51,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_124642 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
52,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_141614 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil,Bacterial Canker,Bacterial Canker
53,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211211_154901 (Custom).jpg,Sooty Mould,Anthracnose,Sooty Mould,Sooty Mould,Sooty Mould,Bacterial Canker
54,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_135534 (Custom).jpg,Bacterial Canker,Cutting Weevil,Anthracnose,Anthracnose,Cutting Weevil,Bacterial Canker
55,data/mango-leaf-disease-dataset/Die Back/20211129_163714 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
56,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122443 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
57,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_162227 (Custom).jpg,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Gall Midge,NA
58,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161641(0) (Custom).jpg,Cutting Weevil,Die Back,Die Back,Die Back,Die Back,Cutting Weevil
59,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164101 (Custom).jpg,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Gall Midge
60,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170138 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Gall Midge,Cutting Weevil,Die Back,Die Back
61,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122158 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew,Powdery Mildew
62,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161147 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Die Back,Die Back,Anthracnose,Cutting Weevil
63,data/mango-leaf-disease-dataset/Die Back/20211129_162455 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
64,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_122000 (Custom).jpg,Powdery Mildew,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
65,data/mango-leaf-disease-dataset/Die Back/20211129_160526 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
66,data/mango-leaf-disease-dataset/Die Back/20211129_161913 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
67,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_165339 (Custom).jpg,Gall Midge,Anthracnose,Anthracnose,Anthracnose,Anthracnose,Bacterial Canker
68,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122252 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
69,data/mango-leaf-disease-dataset/Powdery Mildew/20211109_121314 (Custom).jpg,Powdery Mildew,Sooty Mould,Healthy,Healthy,Sooty Mould,Powdery Mildew
70,data/mango-leaf-disease-dataset/Cutting Weevil/IMG_20211011_140211 (Custom).jpg,Cutting Weevil,Healthy,Healthy,Healthy,Healthy,Healthy
71,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162411 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Die Back,Die Back,Die Back,Die Back
72,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_122528 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
73,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161346 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Gall Midge,Die Back,Cutting Weevil,Cutting Weevil
74,data/mango-leaf-disease-dataset/Healthy/20211231_160003 (Custom).jpg,Healthy,Powdery Mildew,Powdery Mildew,Healthy,Powdery Mildew,Powdery Mildew
75,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_161531 (Custom).jpg,Gall Midge,Gall Midge,Gall Midge,Bacterial Canker,Anthracnose,Cutting Weevil
76,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_161345 (Custom) (Custom).jpg,Cutting Weevil,Die Back,Die Back,Gall Midge,Cutting Weevil,Healthy
77,data/mango-leaf-disease-dataset/Die Back/20211129_162856 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
78,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211212_145257 (Custom).jpg,Sooty Mould,Anthracnose,Die Back,Anthracnose,Die Back,Sooty Mould
79,data/mango-leaf-disease-dataset/Powdery Mildew/IMG_20211107_122459 (Custom).jpg,Powdery Mildew,Powdery Mildew,Powdery Mildew,Sooty Mould,Powdery Mildew,Powdery Mildew
80,data/mango-leaf-disease-dataset/Healthy/20211231_155218 (Custom).jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
81,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_142108 (Custom).jpg,Bacterial Canker,Cutting Weevil,Cutting Weevil,Die Back,Cutting Weevil,Bacterial Canker
82,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_170153 (Custom).jpg,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil
83,data/mango-leaf-disease-dataset/Anthracnose/20211008_124931 (Custom).jpg,Anthracnose,Cutting Weevil,Cutting Weevil,Cutting Weevil,Cutting Weevil,Anthracnose
84,data/mango-leaf-disease-dataset/Bacterial Canker/IMG_20211106_143006 (Custom).jpg,Bacterial Canker,Die Back,Die Back,Die Back,Die Back,Bacterial Canker
85,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_140621 (Custom).jpg,Anthracnose,Gall Midge,Gall Midge,Anthracnose,Gall Midge,Anthracnose
86,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170308 (Custom).jpg,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Gall Midge,Gall Midge
87,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_121019 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
88,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_170006 (Custom).jpg,Gall Midge,Anthracnose,Anthracnose,Gall Midge,NA,Bacterial Canker
89,data/mango-leaf-disease-dataset/Sooty Mould/IMG_20211108_123124 (Custom).jpg,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould,Sooty Mould
90,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_165144 (Custom).jpg,Anthracnose,Anthracnose,Bacterial Canker,Anthracnose,Bacterial Canker,Anthracnose
91,data/mango-leaf-disease-dataset/Die Back/20211129_162219 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
92,data/mango-leaf-disease-dataset/Die Back/20211129_162705 (Custom).jpg,Die Back,Die Back,Die Back,Die Back,Die Back,Die Back
93,data/mango-leaf-disease-dataset/Anthracnose/IMG_20211011_164413 (Custom).jpg,Anthracnose,Die Back,Die Back,Anthracnose,Cutting Weevil,Gall Midge
94,data/mango-leaf-disease-dataset/Gall Midge/IMG_20211106_164447 (Custom).jpg,Gall Midge,Anthracnose,Gall Midge,Cutting Weevil,Anthracnose,Gall Midge
95,data/mango-leaf-disease-dataset/Cutting Weevil/20211011_162125 (Custom) (Custom).jpg,Cutting Weevil,Cutting Weevil,Bacterial Canker,Cutting Weevil,Cutting Weevil,Cutting Weevil
