,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
22,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_013.jpg,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro
23,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_030.jpg,Severe Bacterial Blight,Severe Tungro,Healthy,Severe Tungro,Mild Tungro,Severe Tungro
24,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_091.jpg,Severe Brownspot,Mild Brownspot,Mild Bacterial Blight,Mild Brownspot,Mild Brownspot,Mild Brownspot
25,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_121.jpg,Severe Brownspot,Mild Bacterial Blight,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Blast
26,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_089.jpg,Mild Blast,Mild Blast,Mild Blast,Mild Brownspot,Severe Brownspot,Severe Brownspot
27,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_259.jpg,Mild Bacterial Blight,Mild Blast,Mild Bacterial Blight,Mild Bacterial Blight,Severe Bacterial Blight,Mild Bacterial Blight
28,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_134.JPG,Severe Bacterial Blight,Severe Brownspot,Severe Brownspot,Severe Tungro,Severe Brownspot,Severe Bacterial Blight
29,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_171.JPG,Mild Tungro,Mild Bacterial Blight,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro
30,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/brownspot_orig_002.jpg,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
31,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_103612.jpg,Healthy,Mild Bacterial Blight,Healthy,Mild Bacterial Blight,Mild Bacterial Blight,Severe Bacterial Blight
32,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_133556.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
33,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_188.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
34,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST4_030.jpg,Mild Blast,Mild Bacterial Blight,Mild Blast,Mild Blast,Mild Blast,Severe Blast
35,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST3_152.jpg,Severe Blast,Severe Blast,Mild Blast,Severe Blast,Severe Blast,Severe Blast
36,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_045.jpg,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro
37,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_114.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Severe Brownspot
38,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_075.jpg,Severe Bacterial Blight,Mild Tungro,Severe Bacterial Blight,Mild Blast,Severe Blast,Severe Brownspot
39,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO2_086.jpg,Severe Tungro,Mild Tungro,Mild Tungro,Severe Tungro,Severe Tungro,Severe Tungro
40,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_033.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot,Severe Brownspot
41,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST2_019.jpg,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Blast
42,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_272.JPG,Mild Tungro,Mild Brownspot,Mild Tungro,Healthy,Mild Tungro,Mild Tungro
43,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190946.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
44,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_146.JPG,Severe Bacterial Blight,Severe Brownspot,Severe Tungro,Severe Bacterial Blight,Severe Tungro,Severe Bacterial Blight
45,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_054.jpg,Mild Bacterial Blight,Severe Bacterial Blight,Mild Bacterial Blight,Severe Tungro,Severe Bacterial Blight,Severe Tungro
46,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_113342.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
47,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_124.jpg,Severe Blast,Severe Blast,Severe Blast,Severe Brownspot,Severe Blast,Severe Brownspot
48,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_108.JPG,Severe Bacterial Blight,Severe Brownspot,Severe Brownspot,Severe Brownspot,Severe Tungro,Severe Bacterial Blight
49,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190420_190039.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
50,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST7_007.jpg,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot,Severe Brownspot,Mild Brownspot
51,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_152.jpg,Severe Bacterial Blight,Severe Brownspot,Mild Brownspot,Severe Brownspot,Severe Bacterial Blight,Mild Tungro
52,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_129.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
53,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST5_093.jpg,Mild Blast,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot
54,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT5_195.jpg,Mild Bacterial Blight,Mild Bacterial Blight,Mild Blast,Mild Bacterial Blight,Severe Blast,Mild Blast
55,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST1_091.jpg,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot,Severe Blast,Mild Blast
56,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_016.jpg,Mild Bacterial Blight,Mild Brownspot,Mild Blast,Mild Blast,Severe Tungro,Mild Tungro
57,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT5_034.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
58,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_129.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot
59,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO3_131.JPG,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro
60,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_037.jpg,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot
61,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST1_103.jpg,Severe Blast,Severe Brownspot,Severe Bacterial Blight,Severe Blast,Severe Brownspot,Mild Blast
62,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT6_099.jpg,Severe Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Severe Brownspot
63,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST1_084.jpg,Severe Blast,Mild Brownspot,Mild Blast,Severe Blast,Severe Blast,Severe Brownspot
64,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_234.JPG,Severe Tungro,Mild Bacterial Blight,Mild Tungro,Severe Tungro,Severe Tungro,Mild Tungro
65,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST6_094.jpg,Severe Blast,Severe Brownspot,Severe Blast,Severe Brownspot,Severe Blast,Severe Blast
66,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO3_054.jpg,Severe Tungro,Severe Bacterial Blight,Severe Tungro,Severe Tungro,Mild Tungro,Severe Tungro
67,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_274 - Copy.JPG,Mild Tungro,Mild Brownspot,Mild Bacterial Blight,Mild Tungro,Mild Tungro,Severe Tungro
68,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_092.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast
69,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_011.jpg,Mild Bacterial Blight,Mild Blast,Severe Blast,Severe Blast,Severe Tungro,Mild Blast
70,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT7_199.jpg,Severe Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
71,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_122.JPG,Mild Tungro,Mild Tungro,Healthy,Mild Tungro,Severe Tungro,Mild Tungro
72,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_047.jpg,Severe Blast,Mild Tungro,Severe Bacterial Blight,Severe Tungro,Severe Bacterial Blight,Mild Brownspot
73,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT4_001.jpg,Mild Bacterial Blight,Mild Bacterial Blight,Mild Brownspot,Mild Bacterial Blight,Mild Bacterial Blight,Mild Bacterial Blight
74,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_174.JPG,Mild Tungro,Mild Blast,Severe Brownspot,Mild Tungro,Severe Tungro,Severe Tungro
75,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_076.jpg,Severe Tungro,Mild Blast,Severe Brownspot,Severe Tungro,Severe Tungro,Mild Tungro
76,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190421_195830.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
77,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT1_094.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast
78,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO2_272.JPG,Mild Tungro,Healthy,Mild Tungro,Mild Tungro,Mild Tungro,Mild Tungro
79,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO4_195.JPG,Mild Tungro,Severe Tungro,Severe Bacterial Blight,Severe Tungro,Severe Bacterial Blight,Severe Tungro
80,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT1_092.jpg,Mild Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight,Severe Bacterial Blight
81,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Brownspot/BROWNSPOT4_161.jpg,Severe Brownspot,Mild Bacterial Blight,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot
82,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190424_133145.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
83,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST9_097.jpg,Mild Blast,Mild Blast,Mild Brownspot,Mild Blast,Mild Blast,Mild Blast
84,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST5_086.jpg,Severe Blast,Mild Brownspot,Mild Blast,Severe Blast,Severe Blast,Severe Blast
85,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_237.JPG,Severe Bacterial Blight,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Brownspot
86,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Blast/BLAST8_015.jpg,Mild Blast,Mild Brownspot,Mild Blast,Mild Brownspot,Mild Brownspot,Mild Blast
87,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Healthy/IMG_20190419_161516.jpg,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
88,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_226.jpg,Mild Bacterial Blight,Mild Brownspot,Mild Bacterial Blight,Mild Brownspot,Severe Bacterial Blight,Mild Bacterial Blight
89,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT3_041.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Blast,Mild Blast,Mild Brownspot
90,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO4_051.jpg,Severe Tungro,Mild Tungro,Severe Tungro,Severe Tungro,Mild Tungro,Severe Tungro
91,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERIALBLIGHT2_262.jpg,Mild Bacterial Blight,Mild Bacterial Blight,Severe Blast,Severe Tungro,Severe Bacterial Blight,Severe Bacterial Blight
92,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Bacterial Blight/BACTERAILBLIGHT3_051 - Copy.jpg,Mild Bacterial Blight,Severe Brownspot,Severe Blast,Mild Brownspot,Severe Bacterial Blight,Mild Bacterial Blight
93,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERIALBLIGHT2_102.jpg,Severe Bacterial Blight,Severe Tungro,Severe Tungro,Severe Blast,Severe Tungro,Severe Tungro
94,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Tungro/TUNGRO1_101.JPG,Mild Tungro,Mild Tungro,Mild Blast,Mild Tungro,Mild Blast,Severe Tungro
95,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Tungro/TUNGRO1_072.jpg,Severe Tungro,Severe Tungro,Severe Tungro,Severe Tungro,Severe Bacterial Blight,Severe Tungro
96,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Bacterial Blight/BACTERAILBLIGHT3_229.JPG,Severe Bacterial Blight,Severe Blast,Severe Blast,Severe Brownspot,Severe Brownspot,Mild Blast
97,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Mild Brownspot/BROWNSPOT2_127.jpg,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Mild Brownspot,Severe Brownspot
98,/Users/muhammadarbabarshad/Downloads/AgEval-datasets/severity-based-rice-disease/train/Severe Blast/BLAST4_049.JPG,Severe Blast,Mild Bacterial Blight,Severe Brownspot,Severe Brownspot,Severe Brownspot,Severe Tungro
