,0,1,# of Shots 0,# of Shots 1,# of Shots 2,# of Shots 4,# of Shots 8
17,data/Soybean Seeds/Spotted/586.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
18,data/Soybean Seeds/Skin-damaged/196.jpg,Skin-damaged,Broken,Skin-damaged,Broken,Broken,Skin-damaged
19,data/Soybean Seeds/Broken/203.jpg,Broken,Broken,Broken,Broken,Broken,Broken
20,data/Soybean Seeds/Immature/1124.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Intact,Intact
21,data/Soybean Seeds/Intact/483.jpg,Intact,Skin-damaged,Broken,Skin-damaged,Skin-damaged,Intact
22,data/Soybean Seeds/Broken/331.jpg,Broken,Broken,Broken,Broken,Broken,Broken
23,data/Soybean Seeds/Immature/696.jpg,Immature,Skin-damaged,Intact,Intact,Intact,Intact
24,data/Soybean Seeds/Spotted/532.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
25,data/Soybean Seeds/Skin-damaged/315.jpg,Skin-damaged,Broken,Broken,Skin-damaged,Skin-damaged,Skin-damaged
26,data/Soybean Seeds/Immature/741.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Spotted
27,data/Soybean Seeds/Intact/48.jpg,Intact,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Immature
28,data/Soybean Seeds/Skin-damaged/343.jpg,Skin-damaged,Skin-damaged,Skin-damaged,Intact,Skin-damaged,Skin-damaged
29,data/Soybean Seeds/Spotted/157.jpg,Spotted,Skin-damaged,Spotted,Spotted,Skin-damaged,Spotted
30,data/Soybean Seeds/Skin-damaged/1102.jpg,Skin-damaged,Broken,Broken,Skin-damaged,Broken,Broken
31,data/Soybean Seeds/Immature/1094.jpg,Immature,Intact,Intact,Intact,Intact,Intact
32,data/Soybean Seeds/Intact/698.jpg,Intact,Broken,Broken,Broken,Intact,Intact
33,data/Soybean Seeds/Broken/181.jpg,Broken,Broken,Broken,Broken,Broken,Broken
34,data/Soybean Seeds/Intact/407.jpg,Intact,Skin-damaged,Intact,Broken,Immature,Intact
35,data/Soybean Seeds/Skin-damaged/861.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Broken
36,data/Soybean Seeds/Spotted/887.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
37,data/Soybean Seeds/Spotted/167.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
38,data/Soybean Seeds/Broken/554.jpg,Broken,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged
39,data/Soybean Seeds/Skin-damaged/8.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Broken
40,data/Soybean Seeds/Immature/431.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Intact,Immature
41,data/Soybean Seeds/Broken/84.jpg,Broken,Skin-damaged,Spotted,Skin-damaged,Spotted,Spotted
42,data/Soybean Seeds/Skin-damaged/514.jpg,Skin-damaged,Skin-damaged,Spotted,Spotted,Skin-damaged,Skin-damaged
43,data/Soybean Seeds/Intact/1125.jpg,Intact,Skin-damaged,Skin-damaged,Intact,Broken,Intact
44,data/Soybean Seeds/Broken/848.jpg,Broken,Broken,Skin-damaged,Broken,Broken,Skin-damaged
45,data/Soybean Seeds/Skin-damaged/670.jpg,Skin-damaged,NA,Broken,Broken,Broken,Broken
46,data/Soybean Seeds/Intact/828.jpg,Intact,Broken,Skin-damaged,Broken,Immature,Intact
47,data/Soybean Seeds/Broken/939.jpg,Broken,Skin-damaged,Skin-damaged,Spotted,Broken,Spotted
48,data/Soybean Seeds/Spotted/894.jpg,Spotted,Skin-damaged,Spotted,Spotted,Spotted,Spotted
49,data/Soybean Seeds/Skin-damaged/105.jpg,Skin-damaged,Skin-damaged,Immature soybeans,Skin-damaged,Skin-damaged,Skin-damaged
50,data/Soybean Seeds/Broken/138.jpg,Broken,Skin-damaged,Skin-damaged,Skin-damaged,Spotted,Spotted
51,data/Soybean Seeds/Skin-damaged/414.jpg,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged
52,data/Soybean Seeds/Skin-damaged/1090.jpg,Skin-damaged,Broken,Broken,Broken,Skin-damaged,Broken
53,data/Soybean Seeds/Broken/136.jpg,Broken,Skin-damaged,Broken,Broken,Broken,Broken
54,data/Soybean Seeds/Skin-damaged/147.jpg,Skin-damaged,Broken,Broken,Skin-damaged,Broken,Skin-damaged
55,data/Soybean Seeds/Spotted/185.jpg,Spotted,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged
56,data/Soybean Seeds/Skin-damaged/695.jpg,Skin-damaged,Broken,Broken,Skin-damaged,Broken,Skin-damaged
57,data/Soybean Seeds/Spotted/112.jpg,Spotted,Spotted,Skin-damaged,Spotted,Spotted,Spotted
58,data/Soybean Seeds/Broken/464.jpg,Broken,Skin-damaged,Spotted,Skin-damaged,Spotted,Skin-damaged
59,data/Soybean Seeds/Intact/242.jpg,Intact,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged
60,data/Soybean Seeds/Immature/8.jpg,Immature,Broken,Skin-damaged,Skin-damaged,Intact,Immature
61,data/Soybean Seeds/Intact/495.jpg,Intact,Skin-damaged,Skin-damaged,Spotted,Broken,Skin-damaged
62,data/Soybean Seeds/Immature/149.jpg,Immature,Broken,Broken,Broken,Skin-damaged,Immature soybeans
63,data/Soybean Seeds/Immature/414.jpg,Immature,Skin-damaged,Immature soybeans,Immature soybeans,Skin-damaged,Immature soybeans
64,data/Soybean Seeds/Immature/701.jpg,Immature,Skin-damaged,Skin-damaged,Immature,Skin-damaged,Skin-damaged
65,data/Soybean Seeds/Spotted/1036.jpg,Spotted,Broken,Broken,Spotted,Skin-damaged,Skin-damaged
66,data/Soybean Seeds/Immature/19.jpg,Immature,Spotted,Immature soybeans,Immature soybeans,Immature soybeans,Immature soybeans
67,data/Soybean Seeds/Spotted/493.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
68,data/Soybean Seeds/Spotted/706.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
69,data/Soybean Seeds/Intact/95.jpg,Intact,Spotted,Skin-damaged,Skin-damaged,Immature,Spotted
70,data/Soybean Seeds/Spotted/876.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
71,data/Soybean Seeds/Immature/594.jpg,Immature,Skin-damaged,Intact,Intact,Skin-damaged,Immature
72,data/Soybean Seeds/Immature/1065.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged
73,data/Soybean Seeds/Immature/621.jpg,Immature,Intact,Intact,Intact,Immature soybeans,Immature
74,data/Soybean Seeds/Intact/688.jpg,Intact,Skin-damaged,Intact,Intact,Skin-damaged,Skin-damaged
75,data/Soybean Seeds/Immature/1084.jpg,Immature,Skin-damaged,Skin-damaged,Skin-damaged,Skin-damaged,Immature soybeans
76,data/Soybean Seeds/Spotted/399.jpg,Spotted,Spotted,Skin-damaged,Spotted,Spotted,Spotted
77,data/Soybean Seeds/Broken/866.jpg,Broken,Broken,Broken,Broken,Broken,Broken
78,data/Soybean Seeds/Intact/972.jpg,Intact,Spotted,Spotted,Spotted,Spotted,Spotted
79,data/Soybean Seeds/Immature/102.jpg,Immature,Broken,Broken,Intact,Intact,Skin-damaged
80,data/Soybean Seeds/Spotted/764.jpg,Spotted,Spotted,Spotted,Spotted,Skin-damaged,Spotted
81,data/Soybean Seeds/Intact/699.jpg,Intact,Skin-damaged,Skin-damaged,Skin-damaged,Intact,Skin-damaged
82,data/Soybean Seeds/Broken/958.jpg,Broken,Broken,Broken,Broken,Broken,Broken
83,data/Soybean Seeds/Broken/206.jpg,Broken,Broken,Broken,Broken,Broken,Broken
84,data/Soybean Seeds/Skin-damaged/973.jpg,Skin-damaged,Broken,Broken,Immature soybeans,Broken,Skin-damaged
85,data/Soybean Seeds/Immature/40.jpg,Immature,Skin-damaged,Immature soybeans,Immature soybeans,Immature soybeans,Broken
86,data/Soybean Seeds/Broken/786.jpg,Broken,Broken,Broken,Broken,Skin-damaged,Broken
87,data/Soybean Seeds/Skin-damaged/32.jpg,Skin-damaged,Broken,Broken,Broken,Skin-damaged,Broken
88,data/Soybean Seeds/Broken/333.jpg,Broken,Broken,Broken,Broken,Broken,Broken
89,data/Soybean Seeds/Intact/382.jpg,Intact,Skin-damaged,Skin-damaged,Skin-damaged,Immature,Immature
90,data/Soybean Seeds/Intact/8.jpg,Intact,Skin-damaged,Skin-damaged,Spotted,Skin-damaged,Skin-damaged
91,data/Soybean Seeds/Spotted/420.jpg,Spotted,Spotted,Spotted,Spotted,Spotted,Spotted
92,data/Soybean Seeds/Intact/567.jpg,Intact,Broken,Broken,Broken,Immature soybeans,Intact
93,data/Soybean Seeds/Intact/403.jpg,Intact,Skin-damaged,Intact,Intact,Skin-damaged,Intact
94,data/Soybean Seeds/Broken/876.jpg,Broken,Skin-damaged,Skin-damaged,Skin-damaged,Spotted,Broken
95,data/Soybean Seeds/Spotted/528.jpg,Spotted,Spotted,Spotted,Spotted,Skin-damaged,Spotted
96,data/Soybean Seeds/Spotted/262.jpg,Spotted,Spotted,Skin-damaged,Spotted,Spotted,Spotted
97,data/Soybean Seeds/Skin-damaged/149.jpg,Skin-damaged,Broken,Broken,Broken,Broken,Skin-damaged
98,data/Soybean Seeds/Intact/465.jpg,Intact,Skin-damaged,Skin-damaged,Spotted,Skin-damaged,Skin-damaged
99,data/Soybean Seeds/Immature/441.jpg,Immature,Intact,Intact,Intact,Intact,Intact
