,0,1,# of Shots 0
52,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/78.jpg,aneurysm,aneurysm
53,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/74.jpg,tumor,aneurysm
54,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/38.jpg,cancer,tumor
55,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/59.jpg,tumor,aneurysm
56,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/55.jpg,cancer,aneurysm
57,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/14.jpg,aneurysm,tumor
58,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/75.jpg,cancer,tumor
59,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/12.jpg,aneurysm,tumor
60,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/62.jpg,cancer,tumor
61,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/39.jpg,aneurysm,aneurysm
62,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/23.jpg,aneurysm,aneurysm
63,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/51.jpg,aneurysm,tumor
64,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/36.jpg,cancer,tumor
65,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/52.jpg,aneurysm,tumor
66,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/67.jpg,cancer,aneurysm
67,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/11.jpg,aneurysm,tumor
68,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/49.jpg,cancer,aneurysm
69,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/54.jpg,cancer,tumor
70,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/74.jpg,aneurysm,aneurysm
71,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/54.jpg,aneurysm,tumor
72,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/56.jpg,aneurysm,aneurysm
73,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/41.jpg,cancer,aneurysm
74,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/75.jpg,aneurysm,aneurysm
75,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/33.jpg,cancer,tumor
76,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/8.jpg,tumor,tumor
77,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/68.jpg,cancer,aneurysm
78,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/60.jpg,aneurysm,aneurysm
79,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/26.jpg,aneurysm,aneurysm
80,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/17.jpg,cancer,tumor
81,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/65.jpg,aneurysm,tumor
82,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/21.jpg,tumor,aneurysm
83,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/63.jpg,tumor,aneurysm
84,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/31.jpg,aneurysm,tumor
85,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/39.jpg,tumor,tumor
86,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/57.jpg,tumor,aneurysm
87,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/12.jpg,tumor,tumor
88,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/83.jpg,cancer,tumor
89,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/11.jpg,cancer,tumor
90,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/61.jpg,cancer,aneurysm
91,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/64.jpg,cancer,tumor
92,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/8.jpg,cancer,tumor
93,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/71.jpg,tumor,aneurysm
94,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/32.jpg,aneurysm,aneurysm
95,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/29.jpg,cancer,tumor
96,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/tumor/81.jpg,tumor,aneurysm
97,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/cancer/69.jpg,cancer,tumor
98,/Users/muhammadarbabarshad/Documents/Personal Data/GPT4o-with-sakib/data/computed-tomography-ct-of-the-brain/files/aneurysm/33.jpg,aneurysm,aneurysm
